Nome,Data,Estado,Apoiamentos
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-21,RJ,Total de aptos: 510
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-21,RN,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-21,RS,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-21,RO,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-21,RR,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-21,SC,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-21,SP,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-21,SE,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-21,TO,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,AC,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,AL,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,AP,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,AM,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,BA,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,CE,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,DF,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,ES,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,GO,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,MA,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,MT,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,MS,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,MG,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,PA,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,PB,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,PR,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,PE,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,PI,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,RJ,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,RN,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,RS,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,RO,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,RR,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,SC,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,SP,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,SE,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-21,TO,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,AC,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,AL,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,AP,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,AM,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,BA,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,CE,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,DF,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,ES,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,GO,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,MA,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,MT,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,MS,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,MG,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,PA,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,PB,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,PR,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,PE,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,PI,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,RJ,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,RN,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,RS,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,RO,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,RR,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,SC,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,SP,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,SE,Total de aptos: 0
ORDEM - ORDEM,2024-07-21,TO,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,AC,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,AL,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,AP,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,AM,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,BA,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,CE,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,DF,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,ES,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,GO,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,MA,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,MT,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,MS,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,MG,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,PA,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,PB,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,PR,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,PE,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,PI,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,RJ,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,RN,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,RS,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,RO,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,RR,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,SC,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,SP,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,SE,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-21,TO,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,AC,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,AL,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,AP,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,AM,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,BA,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,CE,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,DF,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,ES,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,GO,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,MA,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,MT,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,MS,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,MG,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,PA,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,PB,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,PR,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,PE,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,PI,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,RJ,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,RN,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,RS,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,RO,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,RR,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,SC,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,SP,Total de aptos: 32
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,SE,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-21,TO,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,AC,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,AL,Total de aptos: 245
PBN - PARTIDO BRASIL NOVO,2024-07-21,AP,Total de aptos: 145
PBN - PARTIDO BRASIL NOVO,2024-07-21,AM,Total de aptos: 937
PBN - PARTIDO BRASIL NOVO,2024-07-21,BA,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,CE,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,DF,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,ES,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-21,GO,Total de aptos: 0
